rule,C_peak,AUC,scale_entropy,beta_var,entity_scale,C_unified
231,0.22634648897026358,0.2773048756246408,0.6882403388669485,0.027042711259887043,4,0.1516789735834256
190,0.2558083957001762,0.29873223571675817,0.5940553878796451,0.0367144439695336,4,0.14658265505462925
230,0.3342302597400112,0.3653502188301094,0.4201679113090531,0.0677543012004554,4,0.1315216712059665
123,0.1437964190115837,0.20645301006558042,0.8858579367905824,0.008650692334842591,4,0.12629069709812693
213,0.09114945300278,0.19291569640127273,1.335023562497847,0.0007559328861444221,0,0.12159474999719605
50,0.07227866422979483,0.20800836599415745,1.5833157028736196,0.0012339929032819678,4,0.11429890002627857
113,0.07671482546119292,0.11967106275453918,1.2681525786672332,0.00024495381754509565,0,0.09726227896408313
51,0.05756228519164144,0.1451303218782266,1.559150011092716,0.0007410428031517647,2,0.0896817795577547
29,0.055724124666510784,0.16501534825153363,1.5847688295903044,0.0006861664857539391,2,0.08824930211418856
99,0.07247626795188303,0.11265793816822162,1.1790894807035204,0.00017562855705742923,0,0.0854409992633008
48,0.11108548509129426,0.1307892733622746,0.6120498347214947,0.006853678648452012,4,0.06752704412954
57,0.04278278783337689,0.06293410098996612,1.167879110955654,9.535086141216942e-05,0,0.04996036045564267
228,0.024456907967206384,0.059815172410629946,1.847316712240887,9.165101304906422e-05,2,0.04517551443589459
84,0.02073961545499824,0.046004973870799784,1.4063430219157123,0.00024633518530919483,2,0.029159830380131757
172,0.016315652204398033,0.041879827776369255,1.7121953076156085,0.00014300413239577695,2,0.027931588812434013
104,0.010095167675649308,0.031203877743826616,1.882831876179751,1.342643329456924e-05,2,0.01900724829554061
164,0.008302869269228248,0.029998567299893426,1.992947711561993,6.851553467877116e-07,1,0.016547172972122798
78,0.016071634857426194,0.021757050279429594,0.8644886641718031,0.00013201514513317957,4,0.013891912206147286
100,0.008276924235509527,0.02180587034954542,1.5862389436881115,2.9922138022749834e-05,1,0.013128786714953005
14,0.17546825539663946,0.17682954968823592,0.07131151081129117,0.020486979515770238,2,0.012261701171036336
79,0.01212628659008813,0.018892611760452475,0.9884840833777417,7.274519355719231e-05,4,0.011985769377665757
140,0.007012031382129911,0.018510179136475013,1.5814752794674853,2.287214401683789e-05,1,0.011089100658181408
36,0.006809475549004214,0.013455185085948883,1.5025908657701221,1.3656522218928675e-05,2,0.010231716030961407
132,0.0059059625006322196,0.016061260433057185,1.5885772436296228,1.9788829104311198e-05,1,0.009381891973577305
