mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,T,seed,magnetisation
0.53902,0.190666,0.599118,0.491308,0.100006,0.09886,0.68084,0.598281,0.094316,,0.476884,0.45804,1.0,0.0,0.576365,0.55359,0.827947,0.999339,,2.25,1,0.11418
0.522192,0.19977,0.564519,0.479475,0.099065,0.098515,0.68375,0.584844,0.093379,,0.483923,0.454158,1.0,0.0,0.572236,0.53704,0.846103,0.999488,,2.25,2,0.108594
0.507825,0.193739,0.552064,0.467512,0.094454,0.093331,0.686699,0.5775,0.091406,,0.466043,0.447571,1.0,0.0,0.539803,0.518409,0.863742,0.999553,,2.25,3,0.204883
0.549705,0.204857,0.620876,0.499556,0.098702,0.098133,0.678086,0.604844,0.094863,,0.461284,0.454298,1.0,0.0,0.569818,0.561188,0.810137,0.99925,,2.25,4,0.09
0.515403,0.19959,0.568458,0.473136,0.091545,0.091533,0.671504,0.586719,0.092754,,0.40068,0.398053,1.0,0.0,0.523753,0.52032,0.765422,0.99947,,2.25,5,0.043398
0.540271,0.207361,0.608116,0.493087,0.064073,0.063197,0.661328,0.595156,0.094844,,0.218677,0.315296,1.0,0.0,0.316285,0.45603,0.691824,0.999378,,2.25,6,0.247852
0.538915,0.1947,0.586292,0.493528,0.088287,0.088188,0.683223,0.602656,0.094961,,0.421727,0.442368,1.0,0.0,0.500708,0.525215,0.842866,0.999281,,2.25,7,0.199531
0.52294,0.192361,0.56496,0.48071,0.103228,0.098878,0.689004,0.58875,0.092969,,0.513975,0.475086,1.0,0.0,0.586416,0.542045,0.876952,0.999449,,2.25,8,0.102031
0.540134,0.204081,0.613858,0.497338,0.090698,0.086188,0.669199,0.607812,0.096953,,0.375611,0.400532,1.0,0.0,0.501777,0.535069,0.749156,0.999205,,2.25,9,0.044375
0.508242,0.196588,0.550395,0.467708,0.098723,0.098513,0.681426,0.584063,0.091074,,0.474743,0.438719,1.0,0.0,0.571126,0.527789,0.831659,0.999495,,2.25,10,0.06293
0.507752,0.213745,0.553408,0.467249,0.068832,0.067961,0.659238,0.581094,0.091895,,0.238552,0.304317,1.0,0.0,0.352925,0.45022,0.676252,0.999522,,2.25,11,0.148906
0.500429,0.202411,0.527842,0.461572,0.134814,0.132838,0.711211,0.569063,0.090879,,0.738111,0.554019,1.0,0.0,0.759043,0.569731,0.972796,0.999616,,2.25,12,0.058555
0.483183,0.163328,0.449655,0.449939,0.128446,0.128443,0.703555,0.563594,0.088828,,0.696231,0.501582,1.0,0.0,0.735587,0.529935,0.946829,0.999651,,2.25,13,0.102656
0.522409,0.197289,0.566557,0.480046,0.069671,0.067694,0.665059,0.590469,0.093887,,0.255245,0.329812,1.0,0.0,0.355056,0.458783,0.719295,0.999431,,2.25,14,0.193125
0.51156,0.182086,0.53809,0.47491,0.124797,0.11697,0.705762,0.593281,0.093086,,0.666922,0.537508,1.0,0.0,0.698665,0.563091,0.955139,0.9994,,2.25,15,0.100469
0.540071,0.201226,0.602458,0.492804,0.087866,0.086986,0.67873,0.6,0.095078,,0.402786,0.429441,1.0,0.0,0.494944,0.527699,0.814357,0.999317,,2.25,16,0.173555
0.502848,0.203882,0.559905,0.46303,0.067741,0.065892,0.653789,0.575469,0.091758,,0.222569,0.290923,1.0,0.0,0.340715,0.445352,0.653523,0.999569,,2.25,17,0.120195
0.533712,0.211889,0.605504,0.488864,0.133548,0.129858,0.706641,0.6,0.094629,,0.718095,0.579814,1.0,0.0,0.749882,0.605479,0.958266,0.999317,,2.25,18,0.046367
0.503453,0.193575,0.529358,0.463145,0.144281,0.124939,0.719102,0.574531,0.090742,,0.751112,0.56526,1.0,0.0,0.758436,0.570771,0.990764,0.999576,,2.25,19,0.099375
