mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,gzip_byte,fractal_dim,score,score_geom,w_H,w_OP_s,w_OP_t,w_geom,w_T,w_G,w_dim,p,seed,mean_density
0.968952,0.004527,0.0,0.968365,1e-06,0.0,0.51894,0.974807,0.158956,,0.104102,0.0,1.505145,0.37511,0.0,0.0,0.747306,0.246731,,0.35,0,0.604023
0.969134,0.00353,0.0,0.968514,0.0,0.0,0.518913,0.975132,0.159008,,0.097923,0.0,1.433761,0.375145,0.0,0.0,0.747117,0.243679,,0.35,1,0.603596
0.969524,0.003269,0.0,0.968842,1e-06,0.0,0.518556,0.975461,0.159037,,0.094809,0.0,1.410633,0.37521,0.0,0.0,0.74457,0.240576,,0.35,2,0.602249
0.969055,0.00329,0.0,0.968399,1e-06,0.0,0.518081,0.974917,0.158975,,0.096883,0.0,1.418282,0.375119,0.0,0.0,0.741166,0.245699,,0.35,3,0.603059
0.968677,0.003262,0.0,0.968056,0.0,0.0,0.519171,0.974751,0.158948,,0.098695,0.0,1.421103,0.375027,0.0,0.0,0.748957,0.247258,,0.35,4,0.60375
0.886814,0.005465,0.0,0.886564,0.0,0.0,0.57372,0.900286,0.153236,,0.12134,0.0,1.716286,0.093264,0.0,0.0,0.996924,0.760392,,0.375,0,0.696003
0.887151,0.005114,0.0,0.886897,0.0,0.0,0.573463,0.900625,0.153231,,0.120585,0.0,1.690386,0.094306,0.0,0.0,0.996667,0.758957,,0.375,1,0.695317
0.888235,0.005175,0.0,0.887937,2e-06,2e-06,0.572671,0.90146,0.153317,,0.12444,0.0,1.694914,0.097603,0.0,0.0,0.995812,0.755394,,0.375,2,0.694709
0.886769,0.005671,0.0,0.88652,0.0,0.0,0.57368,0.900271,0.153233,,0.122222,0.0,1.731238,0.093127,0.0,0.0,0.996884,0.760454,,0.375,3,0.695318
0.886173,0.004747,0.0,0.885912,1e-06,0.0,0.573639,0.899687,0.153177,,0.115403,0.0,1.662992,0.091249,0.0,0.0,0.996844,0.762903,,0.375,4,0.695705
0.789946,0.006962,0.015134,0.789853,0.0,0.0,0.635311,0.824246,0.142585,,0.00094,0.0,1.82015,0.000696,0.0,0.0,0.787411,0.942228,,0.4,0,0.76361
0.788597,0.006486,0.0,0.788492,0.0,0.0,0.636151,0.823467,0.142371,,0.000681,0.0,1.78855,0.000516,0.0,0.0,0.781671,0.943095,,0.4,1,0.763669
0.791079,0.006303,0.0,0.790951,1e-06,1e-06,0.634509,0.82519,0.142746,,0.000817,0.0,1.776058,0.000616,0.0,0.0,0.792845,0.941158,,0.4,2,0.762856
0.78962,0.006732,0.0,0.789516,1e-06,1e-06,0.635603,0.824004,0.142601,,0.000743,0.0,1.805083,0.000556,0.0,0.0,0.785416,0.942499,,0.4,3,0.763457
0.788403,0.005608,0.0,0.788293,0.0,0.0,0.636176,0.823101,0.14242,,0.000648,0.0,1.726741,0.000509,0.0,0.0,0.781495,0.943499,,0.4,4,0.76373
0.69,0.007825,0.0,0.689984,0.0,0.0,0.695511,0.753845,0.129218,,0.0,0.0,1.872673,0.0,0.0,0.0,0.911258,0.985551,,0.425,0,0.815647
0.689784,0.007102,0.0,0.68975,1e-06,0.0,0.695453,0.753572,0.129243,,0.0,0.0,1.829074,0.0,0.0,0.0,0.910976,0.98563,,0.425,1,0.81549
0.690604,0.007528,0.0,0.690564,2e-06,2e-06,0.695529,0.754517,0.129348,,0.0,0.0,1.855356,0.0,0.0,0.0,0.911344,0.985358,,0.425,2,0.815029
0.690456,0.006929,0.0,0.690421,3e-06,3e-06,0.695494,0.753926,0.129402,,0.0,0.0,1.817992,0.0,0.0,0.0,0.911177,0.985528,,0.425,3,0.815299
0.689495,0.006129,0.0,0.689447,0.0,0.0,0.695857,0.753315,0.129188,,0.0,0.0,1.763936,0.0,0.0,0.0,0.91295,0.985703,,0.425,4,0.815449
0.595698,0.008221,0.0,0.595717,1e-06,0.0,0.749194,0.67678,0.115594,,0.0,0.0,1.894445,0.0,0.0,0.0,0.971628,0.996886,,0.45,0,0.855856
0.595681,0.008008,0.0,0.595691,1e-06,0.0,0.749056,0.676694,0.115548,,0.0,0.0,1.882935,0.0,0.0,0.0,0.97203,0.996892,,0.45,1,0.855788
0.59585,0.00784,0.0,0.595856,5e-06,4e-06,0.749258,0.677017,0.115601,,0.0,0.0,1.873514,0.0,0.0,0.0,0.971442,0.996872,,0.45,2,0.855382
0.596134,0.007458,0.0,0.596142,2e-06,2e-06,0.749068,0.677131,0.115682,,0.0,0.0,1.85114,0.0,0.0,0.0,0.971993,0.996864,,0.45,3,0.855471
0.594861,0.006536,0.0,0.594855,0.0,0.0,0.749654,0.676138,0.11543,,0.0,0.0,1.791945,0.0,0.0,0.0,0.970273,0.996926,,0.45,4,0.855831
0.508443,0.008427,0.0,0.508476,1e-06,1e-06,0.795772,0.598994,0.101647,,0.0,0.0,1.905094,0.0,0.0,0.0,0.713222,0.99933,,0.475,0,0.887354
0.508765,0.007674,0.0,0.508792,3e-06,0.0,0.795482,0.599929,0.101747,,0.0,0.0,1.863969,0.0,0.0,0.0,0.715347,0.999318,,0.475,1,0.887256
0.508808,0.008031,0.0,0.508838,2e-06,2e-06,0.795652,0.599619,0.101795,,0.0,0.0,1.884187,0.0,0.0,0.0,0.714096,0.999322,,0.475,2,0.886833
0.509098,0.008381,0.0,0.509133,3e-06,2e-06,0.795507,0.599978,0.101791,,0.0,0.0,1.902716,0.0,0.0,0.0,0.71516,0.999317,,0.475,3,0.887067
0.508155,0.006834,0.0,0.50817,3e-06,2e-06,0.79608,0.599004,0.101701,,0.0,0.0,1.811831,0.0,0.0,0.0,0.710961,0.99933,,0.475,4,0.887279
0.42926,0.008844,0.0,0.429311,0.0,0.0,0.835569,0.522842,0.088211,,0.0,0.0,1.925154,0.0,0.0,0.0,0.43593,0.999799,,0.5,0,0.912213
0.429448,0.007708,0.0,0.429484,0.0,0.0,0.835375,0.523352,0.088299,,0.0,0.0,1.865965,0.0,0.0,0.0,0.433755,0.999798,,0.5,1,0.912144
0.42972,0.007663,0.0,0.429753,0.0,0.0,0.835246,0.52364,0.088351,,0.0,0.0,1.863333,0.0,0.0,0.0,0.432305,0.999798,,0.5,2,0.911898
0.430439,0.007922,0.0,0.430476,6e-06,5e-06,0.835098,0.524417,0.088402,,0.0,0.0,1.878138,0.0,0.0,0.0,0.430652,0.999796,,0.5,3,0.911967
0.429637,0.006943,0.0,0.429661,1e-06,0.0,0.835397,0.523572,0.088188,,0.0,0.0,1.818925,0.0,0.0,0.0,0.434004,0.999798,,0.5,4,0.912048
