model,q,L,T,seed,C_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
Potts q=3,3,64,1.1,0,0.5003768191166282,0.9750181256358126,0.008586261720099426,0.0470757928220736,0.8592351112178914,0.39796634735465797,0.3470611475664718,0.83947509765625,0.15120849609375
Potts q=3,3,64,1.1,1,1.5129691763350466,0.8839217450578417,0.025901436616905325,0.0,0.7840174096310887,0.34627753637121184,0.30860825155790295,0.84567138671875,0.14162109375
Potts q=3,3,64,1.1,2,2.036406696864156,0.8501566943780909,0.01760005642712158,0.06474016311311,0.7572340285722777,0.3665396836258092,0.31797765494876407,0.84890380859375,0.13776123046875
Potts q=3,3,64,1.1,3,1.5762096216733577,0.9217105760946893,0.020090522738413486,0.08063567845646302,0.8153686728117405,0.37568829608475895,0.3256795255332108,0.84310546875,0.14570556640625
Potts q=3,3,64,1.1,4,1.7841970172187593,0.9207986846755872,0.025492215718660897,0.14520363943165013,0.8186828404597014,0.3620609353688423,0.319429699557376,0.8407324218750001,0.14646484375
Potts q=3,3,64,1.1,5,1.2082273379004014,0.9345013613832228,0.013117419253542057,0.04711677814453097,0.8186168567834246,0.3681991173497116,0.3045191383904148,0.84497314453125,0.1447314453125
Potts q=3,3,64,1.15,0,1.151327739211258,0.9227911399493446,0.013950655421489076,0.0,0.835271425255428,0.3276564538255605,0.30929430094850097,0.8252001953125001,0.15077880859375
Potts q=3,3,64,1.15,1,1.4761961248920232,0.9223544040592144,0.021069889146784107,0.04708763599750787,0.8360434244795573,0.34377979494971933,0.31235865932312756,0.82490966796875,0.15096435546875
Potts q=3,3,64,1.15,2,1.3952138352940477,0.900178178525296,0.01913420487129402,0.0,0.8172750466758968,0.3186793612648737,0.2838964197136799,0.8266333007812501,0.14894287109375
Potts q=3,3,64,1.15,3,1.9386376279589947,0.9064571988534637,0.027402182327064067,0.09503871129012653,0.82381565829073,0.328061431845465,0.29334650634464426,0.8259521484375,0.14953125
Potts q=3,3,64,1.15,4,1.5261683714333296,0.9380251231596322,0.020249790779724147,0.26983386062721787,0.846125333059049,0.30278986014162645,0.28183042289099713,0.82540771484375,0.1518603515625
Potts q=3,3,64,1.15,5,1.9608915479229259,0.9176472070823765,0.03472343233708846,0.14513284800545914,0.8325178898870423,0.31129032837281795,0.29354610096196954,0.8248828125000001,0.15020263671875
Potts q=3,3,64,1.2,0,1.2659429481878157,0.9124482486734111,0.014772847315121494,0.0,0.8429665034417058,0.2615158732561012,0.24922051006376286,0.8091406250000001,0.15381591796875
Potts q=3,3,64,1.2,1,1.4447037787532138,0.9034288883746427,0.028366835130594122,0.0,0.8348511640655744,0.2763972503295999,0.2491061248633034,0.81240234375,0.15246826171875
Potts q=3,3,64,1.2,2,1.4597292878381134,0.899116062825859,0.024993744622730348,0.0,0.8321695282276879,0.2735330125457869,0.25677743417221316,0.81192138671875,0.15239501953125
Potts q=3,3,64,1.2,3,1.5041792021052585,0.8857725303581341,0.01935549063496777,0.0,0.8183671191715073,0.24200912392237703,0.23850323022618733,0.814267578125,0.15061767578125
Potts q=3,3,64,1.2,4,1.4834287364904697,0.8947065561971697,0.023613981579079762,0.0,0.8274487881871826,0.257469776214058,0.255387091251586,0.81160400390625,0.151767578125
