alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,mi_lag1,mi_decay,gzip,score,w_H,w_OP_s,w_OP_t,w_G
0.6207,2.3339,0.704698,0.008821,0.0,0.701545,0.010434,0.009575,0.133385,0.0,1.916687,0.0,0.011596,0.800178
0.6207,2.7328,0.705547,0.009622,0.0,0.702359,0.020502,0.019943,0.133776,0.0,1.956093,0.0,0.04161,0.795821
0.6207,3.2,0.704746,0.009084,0.0,0.70166,0.015246,0.014044,0.132422,0.0,1.93126,0.0,0.023567,0.810375
0.8056,0.3,0.692745,0.010529,0.0,0.692556,0.734126,0.618964,0.076146,0.0,1.978681,0.0,0.984068,0.882978
0.8056,0.3513,0.684966,0.00841,0.0,0.684738,0.70473,0.603896,0.079583,0.0,1.892418,0.0,0.990578,0.910925
0.8056,0.4113,0.680706,0.008945,0.0,0.680413,0.682329,0.582346,0.080365,0.0,1.916124,0.0,0.994589,0.91218
0.8056,0.4816,0.682198,0.011777,0.0,0.681751,0.660789,0.579326,0.085521,0.0,1.998466,0.0,0.991009,0.935162
0.8056,0.564,0.693457,0.010958,0.0,0.692818,0.659234,0.554748,0.091615,0.0,1.984062,0.0,0.990266,0.953224
0.8056,0.6604,0.704165,0.00808,0.0,0.703538,0.541769,0.48949,0.104635,0.0,1.886662,0.0,0.998711,0.963936
0.8056,0.7733,0.712939,0.006397,0.0,0.712817,0.436871,0.429054,0.118698,1e-06,1.782509,1e-06,0.998155,0.925197
0.8056,0.9055,0.717772,0.004326,0.0,0.716848,0.345009,0.343304,0.126016,1e-06,1.631234,1e-06,0.992321,0.870383
0.8056,1.0602,0.717446,0.004661,0.0,0.714571,0.223746,0.22272,0.132292,1e-06,1.650794,1e-06,0.947272,0.811669
0.8056,1.2415,0.714543,0.005415,0.0,0.71124,0.094635,0.094265,0.134844,0.0,1.712363,1e-06,0.541728,0.784387
0.8056,1.4537,0.711638,0.007796,0.0,0.70818,0.07138,0.071032,0.133672,0.0,1.858862,0.0,0.374032,0.7971
0.8056,1.7022,0.709946,0.006882,0.0,0.706327,0.044918,0.044484,0.133073,0.0,1.807227,0.0,0.17801,0.803486
0.8056,1.9932,0.707259,0.007371,0.0,0.704182,0.021971,0.021814,0.132526,0.0,1.845184,0.0,0.046651,0.809219
0.8056,2.3339,0.706369,0.008694,0.0,0.703352,0.017685,0.01751,0.132526,0.0,1.908963,0.0,0.030526,0.809291
0.8056,2.7328,0.703664,0.008865,0.0,0.701709,0.015919,0.01577,0.133333,0.0,1.915136,0.0,0.024712,0.800697
0.8056,3.2,0.704689,0.009209,0.0,0.701857,0.015042,0.014801,0.132682,0.0,1.937059,0.0,0.024019,0.80762
1.0456,0.3,0.688085,0.010324,0.0,0.687692,0.710104,0.598256,0.078411,0.0,1.957559,0.0,0.989124,0.896981
1.0456,0.3513,0.686662,0.010182,0.0,0.686235,0.671685,0.586855,0.084375,0.0,1.953742,0.0,0.993045,0.938726
1.0456,0.4113,0.68332,0.008521,0.0,0.682674,0.659071,0.576987,0.086016,0.0,1.876623,0.0,0.996038,0.951468
1.0456,0.4816,0.686262,0.009846,0.0,0.686156,0.637671,0.562894,0.091302,0.0,1.960562,0.0,0.989759,0.952552
