rank,rule,wolfram_class,complexity,mean_H,std_H,opacity_up,opacity_down,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip
95,146,C2,1.639e-05,0.823764,0.043559,0.293437,0.758964,0.47664,0.1224,1.000418,4.2e-05,0.434034,0.904519
96,182,C3,1.543e-05,0.822593,0.045436,0.29817,0.758901,0.477884,0.122524,1.000161,3.9e-05,0.442792,0.903508
97,145,C2,1.332e-05,0.948964,0.016072,0.262963,0.808502,0.325689,0.035982,1.85581,0.002548,0.006392,0.440584
98,147,C2,9.35e-06,0.977888,0.025161,0.451823,0.970562,0.287369,0.113902,1.009866,0.007737,0.001243,0.962083
99,183,C2,8.51e-06,0.820261,0.046452,0.307275,0.752971,0.480871,0.120836,1.000094,2e-05,0.46408,0.916838
100,6,C2,4.75e-06,0.803971,0.041144,0.258504,0.74953,0.6648,0.02024,1.001313,3e-05,0.570182,0.280178
101,20,C2,4.08e-06,0.792439,0.033231,0.196475,0.742647,0.675271,0.021502,1.029552,2.8e-05,0.492083,0.291598
102,143,C2,3.51e-06,0.996536,0.000334,0.131623,0.749091,0.531724,0.02424,0.230722,5.8e-05,0.833541,0.317297
103,108,C2,3.03e-06,0.911862,0.007775,0.0,0.886487,0.924462,0.008098,1.86926,0.093024,9.4e-05,0.184667
104,14,C2,2.83e-06,0.99653,0.000352,0.193393,0.748302,0.531671,0.023938,0.231287,4.7e-05,0.833205,0.314399
105,115,C2,2.63e-06,0.94982,0.027289,0.188628,0.850662,0.243698,0.023156,1.145763,0.051482,0.000145,0.306967
106,84,C2,1.95e-06,0.996602,0.000261,0.068471,0.745538,0.530764,0.024667,0.225651,3.3e-05,0.827467,0.321415
107,59,C2,1.94e-06,0.95084,0.024008,0.255877,0.853246,0.243698,0.023084,1.304882,0.033452,0.000145,0.306297
108,49,C2,1.77e-06,0.948148,0.025339,0.256527,0.85261,0.243698,0.022951,1.235129,0.032225,0.000145,0.305042
109,142,C2,1.44e-06,0.999403,0.000157,0.192743,0.760875,0.531618,0.023884,0.039802,0.000138,0.83287,0.313889
110,62,C2,1.32e-06,0.942793,0.017749,0.220791,0.771723,0.323404,0.037947,1.760827,0.000278,0.005835,0.462956
111,35,C2,1.19e-06,0.94461,0.035221,0.251648,0.847316,0.243698,0.023218,1.00686,0.026422,0.000145,0.307555
112,83,C2,1.16e-06,0.992124,0.00649,0.129827,0.960042,0.186649,0.02392,0.670116,0.975303,6e-06,0.314229
113,27,C2,1.05e-06,0.990854,0.007427,0.192646,0.954172,0.185298,0.023547,0.791275,0.82805,5e-06,0.31067
114,213,C2,9.7e-07,0.996611,0.000206,0.0,0.745866,0.53072,0.024711,0.224458,1.6e-05,0.827184,0.321846
115,215,C2,9e-07,0.778248,0.032444,0.194143,0.728153,0.685867,0.021396,1.038188,7e-06,0.41661,0.290622
116,39,C2,8.3e-07,0.988708,0.008133,0.256689,0.956451,0.186649,0.023831,0.96639,0.487956,6e-06,0.31338
117,53,C2,7.6e-07,0.988678,0.008857,0.259775,0.957148,0.185404,0.023733,0.986931,0.472211,5e-06,0.312447
118,212,C2,7.2e-07,0.99932,0.000166,0.023365,0.75727,0.530684,0.02472,0.045334,5.9e-05,0.826958,0.321932
119,43,C2,5.1e-07,0.99932,0.000166,0.107209,0.757189,0.462649,0.022276,0.045334,0.00011,0.340997,0.298729
120,113,C2,4.8e-07,0.999403,0.000157,0.221113,0.7611,0.461716,0.023564,0.039802,0.000117,0.335188,0.310839
121,118,C2,4.5e-07,0.940202,0.016599,0.214671,0.757804,0.320453,0.041556,1.838354,9.3e-05,0.005181,0.505023
122,159,C2,4.3e-07,0.776747,0.049666,0.259482,0.727036,0.685707,0.020747,1.000015,4e-06,0.417713,0.284729
123,54,C2,3.4e-07,0.9711,0.028172,0.539513,0.963358,0.282498,0.100756,1.010661,0.000339,0.000993,0.999886
124,201,C2,3.1e-07,0.887888,0.005951,0.0,0.858148,0.944329,0.007787,1.7513,0.03074,3.1e-05,0.182563
125,187,C2,2.9e-07,0.802446,0.0,0.0,0.719834,0.505938,0.015689,1.324652,1e-06,0.651465,0.24131
126,48,C2,2.8e-07,0.802446,0.0,0.0,0.719834,0.505938,0.014916,1.324652,1e-06,0.651465,0.23507
127,34,C2,2.7e-07,0.802446,0.0,0.0,0.719382,0.505938,0.01536,1.324652,1e-06,0.651465,0.238643
128,243,C2,2.7e-07,0.802446,0.0,0.0,0.719382,0.505938,0.014818,1.324652,1e-06,0.651465,0.234288
129,94,C2,2.3e-07,0.97905,0.010108,0.058713,0.791005,0.889156,0.013387,1.540152,0.001185,0.000572,0.223047
130,186,C2,9e-08,0.90848,0.0,0.0,0.747853,0.347004,0.016791,1.324372,1.9e-05,0.014391,0.250388
131,242,C2,9e-08,0.90848,0.0,0.0,0.74736,0.347004,0.016,1.324372,1.9e-05,0.014391,0.24385
132,162,C2,6e-08,0.916236,0.0,0.0,0.74843,0.33376,0.016418,1.324043,2e-05,0.008765,0.247289
133,176,C2,6e-08,0.916236,0.0,0.0,0.748301,0.33376,0.01624,1.324043,2e-05,0.008765,0.245822
134,205,C2,5e-08,0.957381,0.0,0.0,0.897418,0.993333,0.006667,1.287829,0.130858,2e-06,0.175131
135,76,C2,3e-08,0.945946,0.0,0.0,0.879723,0.993333,0.006693,1.312805,0.073536,2e-06,0.175305
136,91,C2,3e-08,0.95351,0.020238,0.262876,0.793139,0.235671,0.00912,1.558382,0.000902,9.5e-05,0.191698
137,204,C2,2e-08,0.996559,0.0,0.0,0.9913,0.993333,0.006853,0.225677,0.342755,2e-06,0.176354
138,0,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
139,1,C2,0.0,0.664988,0.135243,0.181513,0.531947,0.124498,0.012027,1.0,0.0,0.0,0.212702
140,2,C2,0.0,0.573384,0.0,0.0,0.540287,0.723147,0.011849,1.324652,0.0,0.201724,0.211375
141,3,C2,0.0,0.89328,0.072238,0.271261,0.802358,0.135093,0.024036,0.999954,0.00153,0.0,0.315335
142,4,C2,0.0,0.541983,0.0,0.0,0.520729,0.993333,0.006213,1.324652,0.0,2e-06,0.172185
143,7,C2,0.0,0.963865,0.015629,0.318746,0.648001,0.055627,0.024951,1.802364,0.0,0.0,0.324177
144,8,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
145,12,C2,0.0,0.802446,0.0,0.0,0.719382,0.993333,0.006578,1.324652,1e-06,2e-06,0.17455
