mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G,rule,class,rank
0.823764,0.043559,0.293437,0.758964,0.162082,0.092961,0.47664,0.1224,2.1e-05,1.000418,4.2e-05,0.675444,0.434034,0.904519,146,C2,101
0.822593,0.045436,0.29817,0.758901,0.162384,0.098461,0.477884,0.122524,2e-05,1.000161,3.9e-05,0.698561,0.442792,0.903508,182,C3,102
0.948964,0.016072,0.262963,0.808502,0.173239,0.020724,0.325689,0.035982,1.5e-05,1.85581,0.002548,0.191931,0.006392,0.440584,145,C2,103
0.977888,0.025161,0.451823,0.970562,0.138053,0.137503,0.287369,0.113902,1.2e-05,1.009866,0.007737,0.775196,0.001243,0.962083,147,C2,104
0.820261,0.046452,0.307275,0.752971,0.159166,0.093641,0.480871,0.120836,1.1e-05,1.000094,2e-05,0.675179,0.46408,0.916838,183,C2,105
0.965518,0.0,0.0,0.836964,1.0,0.0,0.993333,0.006604,1e-05,1.24299,0.010892,0.0,0.004438,0.174724,236,C2,106
0.792439,0.033231,0.196475,0.742647,0.013085,0.010822,0.675271,0.021502,7e-06,1.029552,2.8e-05,0.014026,0.791359,0.291598,20,C2,107
0.803971,0.041144,0.258504,0.74953,0.011255,0.004797,0.6648,0.02024,6e-06,1.001313,3e-05,0.005372,0.717407,0.280178,6,C2,108
0.94982,0.027289,0.188628,0.850662,0.370711,0.353735,0.243698,0.023156,4e-06,1.145763,0.051482,0.9971,0.000145,0.306967,115,C2,109
0.996536,0.000334,0.131623,0.749091,0.003848,0.0,0.531724,0.02424,4e-06,0.230722,5.8e-05,0.0,0.833541,0.317297,143,C2,110
0.99653,0.000352,0.193393,0.748302,0.003859,0.0,0.531671,0.023938,3e-06,0.231287,4.7e-05,0.0,0.833205,0.314399,14,C2,111
0.95084,0.024008,0.255877,0.853246,0.370706,0.352257,0.243698,0.023084,3e-06,1.304882,0.033452,0.997049,0.000145,0.306297,59,C2,112
0.948148,0.025339,0.256527,0.85261,0.370736,0.354794,0.243698,0.022951,2e-06,1.235129,0.032225,0.997136,0.000145,0.305042,49,C2,113
0.977072,0.008345,0.0,0.766977,0.610213,0.0,0.919218,0.01432,2e-06,1.552193,9.9e-05,0.0,0.060984,0.230337,133,C2,114
0.996602,0.000261,0.068471,0.745538,0.003772,0.0,0.530764,0.024667,2e-06,0.225651,3.3e-05,0.0,0.827467,0.321415,84,C2,115
0.778248,0.032444,0.194143,0.728153,0.015403,0.007761,0.685867,0.021396,2e-06,1.038188,7e-06,0.011836,0.858844,0.290622,215,C2,116
0.94461,0.035221,0.251648,0.847316,0.37073,0.346357,0.243698,0.023218,2e-06,1.00686,0.026422,0.996832,0.000145,0.307555,35,C2,117
0.992124,0.00649,0.129827,0.960042,0.316711,0.309806,0.186649,0.02392,2e-06,0.670116,0.975303,0.992403,6e-06,0.314229,83,C2,118
0.990854,0.007427,0.192646,0.954172,0.320368,0.319169,0.185298,0.023547,1e-06,0.791275,0.82805,0.993342,5e-06,0.31067,27,C2,119
0.999403,0.000157,0.192743,0.760875,0.004367,0.0,0.531618,0.023884,1e-06,0.039802,0.000138,0.0,0.83287,0.313889,142,C2,120
0.942793,0.017749,0.220791,0.771723,0.19248,0.016731,0.323404,0.037947,1e-06,1.760827,0.000278,0.158854,0.005835,0.462956,62,C2,121
0.944302,0.0,0.0,0.800792,1.0,0.0,0.993333,0.00648,1e-06,1.314594,0.001223,0.0,0.004438,0.173913,200,C2,122
0.988708,0.008133,0.256689,0.956451,0.311416,0.305301,0.186649,0.023831,1e-06,0.96639,0.487956,0.991629,6e-06,0.31338,39,C2,123
0.988678,0.008857,0.259775,0.957148,0.316173,0.309795,0.185404,0.023733,1e-06,0.986931,0.472211,0.992364,5e-06,0.312447,53,C2,124
0.996611,0.000206,0.0,0.745866,0.003745,0.0,0.53072,0.024711,1e-06,0.224458,1.6e-05,0.0,0.827184,0.321846,213,C2,125
0.776747,0.049666,0.259482,0.727036,0.015157,0.011608,0.685707,0.020747,1e-06,1.000015,4e-06,0.017384,0.857895,0.284729,159,C2,126
0.99932,0.000166,0.023365,0.75727,0.004275,0.0,0.530684,0.02472,1e-06,0.045334,5.9e-05,0.0,0.826958,0.321932,212,C2,127
0.99932,0.000166,0.107209,0.757189,0.004386,0.0,0.462649,0.022276,1e-06,0.045334,0.00011,0.0,0.340997,0.298729,43,C2,128
0.940202,0.016599,0.214671,0.757804,0.21151,0.020141,0.320453,0.041556,0.0,1.838354,9.3e-05,0.193026,0.005181,0.505023,118,C2,129
0.999403,0.000157,0.221113,0.7611,0.004475,0.0,0.461716,0.023564,0.0,0.039802,0.000117,0.0,0.335188,0.310839,113,C2,130
0.9711,0.028172,0.539513,0.963358,0.138939,0.138328,0.282498,0.100756,0.0,1.010661,0.000339,0.778559,0.000993,0.999886,54,C2,131
0.802446,0.0,0.0,0.719834,0.146709,0.142755,0.505938,0.015689,0.0,1.324652,1e-06,0.801175,0.651465,0.24131,187,C2,132
0.802446,0.0,0.0,0.719834,0.146916,0.142918,0.505938,0.014916,0.0,1.324652,1e-06,0.801829,0.651465,0.23507,48,C2,133
0.802446,0.0,0.0,0.719382,0.146893,0.142493,0.505938,0.01536,0.0,1.324652,1e-06,0.801003,0.651465,0.238643,34,C2,134
0.802446,0.0,0.0,0.719382,0.146883,0.14256,0.505938,0.014818,0.0,1.324652,1e-06,0.801109,0.651465,0.234288,243,C2,135
0.90848,0.0,0.0,0.747853,0.261997,0.254668,0.347004,0.016791,0.0,1.324372,1.9e-05,0.977383,0.014391,0.250388,186,C2,136
0.90848,0.0,0.0,0.74736,0.262031,0.25381,0.347004,0.016,0.0,1.324372,1.9e-05,0.977182,0.014391,0.24385,242,C2,137
0.916236,0.0,0.0,0.74843,0.272833,0.267048,0.33376,0.016418,0.0,1.324043,2e-05,0.982044,0.008765,0.247289,162,C2,138
0.916236,0.0,0.0,0.748301,0.272839,0.262541,0.33376,0.01624,0.0,1.324043,2e-05,0.981158,0.008765,0.245822,176,C2,139
0.95351,0.020238,0.262876,0.793139,0.448189,0.0,0.235671,0.00912,0.0,1.558382,0.000902,0.0,9.5e-05,0.191698,91,C2,140
0.994964,0.0,0.0,0.765269,1.0,0.0,0.993333,0.006391,0.0,0.326664,8.6e-05,0.0,0.004438,0.173336,232,C2,141
0.947197,0.033279,0.324664,0.78475,0.34347,0.0,0.230427,0.008604,0.0,1.018658,0.00019,0.0,7.1e-05,0.188129,37,C2,142
0.802446,0.0,0.0,0.719834,1.0,0.0,0.993333,0.006524,0.0,1.324652,1e-06,0.0,0.004438,0.174203,68,C2,143
0.802446,0.0,0.0,0.719834,1.0,0.0,0.993333,0.006524,0.0,1.324652,1e-06,0.0,0.004438,0.174203,196,C2,144
0.802446,0.0,0.0,0.719834,1.0,0.0,0.993333,0.006524,0.0,1.324652,1e-06,0.0,0.004438,0.174203,206,C2,145
0.802446,0.0,0.0,0.719834,1.0,0.0,0.993333,0.006524,0.0,1.324652,1e-06,0.0,0.004438,0.174203,207,C2,146
0.802446,0.0,0.0,0.719382,1.0,0.0,0.993333,0.006578,0.0,1.324652,1e-06,0.0,0.004438,0.17455,12,C2,147
0.802446,0.0,0.0,0.719382,1.0,0.0,0.993333,0.006578,0.0,1.324652,1e-06,0.0,0.004438,0.17455,140,C2,148
