alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,score,w_H,w_OP_s,w_OP_t,w_T,w_G
0.8056,0.7733,0.712939,0.006397,0.0,0.712817,0.441269,0.431523,0.882786,0.118698,0.0,1.782509,1e-06,0.998764,0.170874,0.925197
0.8056,0.9055,0.717772,0.004326,0.0,0.716848,0.342768,0.340646,0.855156,0.126016,1e-06,1.631234,1e-06,0.992744,0.301474,0.870383
0.8056,1.0602,0.717446,0.004661,0.0,0.714571,0.214714,0.214366,0.816641,0.132292,1e-06,1.650794,1e-06,0.940577,0.556885,0.811669
0.8056,1.2415,0.714543,0.005415,0.0,0.71124,0.108105,0.107884,0.76888,0.134844,1e-06,1.712363,1e-06,0.626222,0.888332,0.784387
0.8056,1.4537,0.711638,0.007796,0.0,0.70818,0.060083,0.059,0.742917,0.133672,1e-06,1.858862,0.0,0.286021,0.985605,0.7971
0.8056,1.7022,0.709946,0.006882,0.0,0.706327,0.031395,0.031296,0.724323,0.133073,1e-06,1.807227,0.0,0.096642,0.99661,0.803486
0.8056,1.9932,0.707259,0.007371,0.0,0.704182,0.025907,0.025757,0.716406,0.132526,0.0,1.845184,0.0,0.066186,0.985556,0.809219
0.8056,2.3339,0.706369,0.008694,0.0,0.703352,0.01678,0.016558,0.709193,0.132526,0.0,1.908963,0.0,0.027765,0.966499,0.809291
0.8056,2.7328,0.703664,0.008865,0.0,0.701709,0.018098,0.0173,0.707396,0.133333,0.0,1.915136,0.0,0.034211,0.960837,0.800697
0.8056,3.2,0.704689,0.009209,0.0,0.701857,0.015711,0.015107,0.704844,0.132682,0.0,1.937059,0.0,0.023556,0.951501,0.80762
1.0456,0.3,0.688085,0.010324,0.0,0.687692,0.689354,0.627114,0.93474,0.078411,0.0,1.957559,0.0,0.994996,0.038644,0.896981
1.0456,0.3513,0.686662,0.010182,0.0,0.686235,0.672257,0.611902,0.930312,0.084375,0.0,1.953742,0.0,0.996317,0.044985,0.938726
1.0456,0.4113,0.68332,0.008521,0.0,0.682674,0.653126,0.589278,0.928437,0.086016,0.0,1.876623,0.0,0.996225,0.047221,0.951468
1.0456,0.4816,0.686262,0.009846,0.0,0.686156,0.617085,0.554525,0.923542,0.091302,0.0,1.960562,0.0,0.997959,0.056431,0.952552
1.0456,0.564,0.689378,0.008838,0.0,0.687991,0.602915,0.549264,0.918464,0.096953,0.0,1.913182,0.0,0.997766,0.066774,0.969763
1.0456,0.6604,0.701098,0.009698,0.0,0.700696,0.519649,0.486024,0.900859,0.106667,0.0,1.9529,0.0,0.998889,0.110399,0.97206
1.0456,0.7733,0.713098,0.006278,0.0,0.712269,0.428042,0.416438,0.878932,0.119948,0.0,1.77341,1e-06,0.998133,0.186643,0.917088
1.0456,0.9055,0.716926,0.004333,0.0,0.715987,0.31475,0.311104,0.849453,0.127995,1e-06,1.631312,1e-06,0.985252,0.338478,0.853147
1.0456,1.0602,0.7174,0.00484,0.0,0.714416,0.196097,0.195844,0.807188,0.13263,1e-06,1.669545,1e-06,0.922308,0.627726,0.808128
1.0456,1.2415,0.715437,0.00587,0.0,0.711769,0.103826,0.103577,0.770208,0.133906,1e-06,1.745323,1e-06,0.60204,0.880883,0.794582
1.0456,1.4537,0.712621,0.006362,0.0,0.708044,0.061764,0.06135,0.745234,0.132891,1e-06,1.778264,0.0,0.300537,0.981634,0.805442
1.0456,1.7022,0.709875,0.008063,0.0,0.704961,0.03209,0.031718,0.722812,0.133021,0.0,1.882864,0.0,0.098086,0.995258,0.804057
1.0456,1.9932,0.706726,0.009974,0.0,0.703351,0.021472,0.021044,0.713047,0.133359,0.0,1.962927,0.0,0.044473,0.97729,0.800448
1.0456,2.3339,0.705771,0.009186,0.0,0.702546,0.018968,0.018894,0.709661,0.133177,0.0,1.937322,0.0,0.036207,0.967921,0.802271
1.0456,2.7328,0.705236,0.008963,0.0,0.701922,0.015647,0.015619,0.705286,0.132135,0.0,1.930332,0.0,0.025309,0.952986,0.813394
1.0456,3.2,0.704102,0.008885,0.0,0.701108,0.016118,0.015628,0.709609,0.133099,0.0,1.926311,0.0,0.024903,0.96704,0.803205
1.3572,0.3,0.688896,0.008758,0.0,0.68851,0.631083,0.595612,0.927682,0.089193,0.0,1.917495,0.0,0.998654,0.047852,0.969445
1.3572,0.3513,0.689896,0.008727,0.0,0.689625,0.637707,0.595139,0.925312,0.089792,0.0,1.915171,0.0,0.998276,0.05202,0.961378
1.3572,0.4113,0.6858,0.010227,0.0,0.685629,0.607777,0.587114,0.922813,0.091589,0.0,1.974733,0.0,0.999142,0.055108,0.982912
1.3572,0.4816,0.688725,0.01001,0.0,0.688475,0.59956,0.561144,0.918646,0.096146,0.0,1.929927,0.0,0.998891,0.064351,0.982584
1.3572,0.564,0.687463,0.011205,0.0,0.686241,0.589527,0.50765,0.916172,0.097786,0.0,1.985422,0.0,0.997453,0.070764,0.977322
1.3572,0.6604,0.703684,0.007803,0.0,0.702851,0.487663,0.462104,0.895443,0.112161,0.0,1.864336,0.0,0.998398,0.130971,0.94303
1.3572,0.7733,0.71042,0.007139,0.0,0.71033,0.417783,0.408493,0.876667,0.119245,0.0,1.83058,1e-06,0.997895,0.195278,0.921698
1.3572,0.9055,0.717242,0.004744,0.0,0.716235,0.285302,0.284129,0.839844,0.128229,1e-06,1.662333,1e-06,0.981765,0.394465,0.850943
1.3572,1.0602,0.716186,0.004987,0.0,0.713734,0.190938,0.189983,0.804115,0.132214,1e-06,1.680382,1e-06,0.91287,0.650703,0.812554
1.3572,1.2415,0.714483,0.005904,0.0,0.710883,0.090135,0.089874,0.762682,0.134089,1e-06,1.746963,1e-06,0.506738,0.917721,0.792612
1.3572,1.4537,0.712466,0.005874,0.0,0.707853,0.054313,0.054102,0.739141,0.13362,1e-06,1.74302,0.0,0.244663,0.993375,0.79758
1.3572,1.7022,0.709234,0.00793,0.0,0.705701,0.028957,0.028857,0.720703,0.132891,1e-06,1.875923,0.0,0.084366,0.99165,0.805439
1.3572,1.9932,0.706705,0.00781,0.0,0.702602,0.024819,0.024729,0.716068,0.132161,0.0,1.857173,0.0,0.060438,0.984112,0.813114
1.3572,2.3339,0.706981,0.007857,0.0,0.703697,0.019131,0.019029,0.710182,0.13362,0.0,1.870343,0.0,0.036672,0.96949,0.797647
1.3572,2.7328,0.705669,0.008899,0.0,0.70288,0.0161,0.016074,0.70875,0.133568,0.0,1.918994,0.0,0.025552,0.965285,0.798187
