stage,epoch,mean_H,std_H,opacity_up,opacity_down,opacity_temp_mi1,opacity_temp_decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,grid_shape
N3,0,0.903939,0.123666,0.667351,0.86501,0.189846,0.189846,0.414583,0.0875,0.999865,0.0,0.914138,0.117925,0.969233,0.104469,120x8
N3,1,0.900971,0.114345,0.686043,0.866213,0.185451,0.185424,0.417708,0.103125,0.9999,0.0,0.906602,0.127747,0.998049,0.115578,120x8
N3,2,0.927046,0.078063,0.631282,0.865601,0.189846,0.189819,0.415625,0.116667,0.998644,1e-06,0.914116,0.121132,0.945959,0.104603,120x8
N3,3,0.855088,0.13848,0.725076,0.794646,0.189846,0.189819,0.413542,0.0875,0.999999,0.0,0.914116,0.114782,0.969233,0.101696,120x8
N3,4,0.931176,0.071787,0.627212,0.868587,0.194371,0.194345,0.413542,0.120833,0.997951,1e-06,0.921249,0.114782,0.916855,0.096753,120x8
N3,5,0.930037,0.071044,0.641356,0.887505,0.185406,0.185406,0.416667,0.0875,0.998171,1e-06,0.906546,0.124406,0.969233,0.10911,120x8
N3,6,0.878298,0.144673,0.72636,0.8305,0.185406,0.185406,0.419792,0.101042,0.99999,0.0,0.906546,0.134632,0.999783,0.122022,120x8
N3,7,0.927217,0.073815,0.638151,0.877889,0.185406,0.185406,0.433333,0.120833,0.99862,1e-06,0.906546,0.18627,0.916855,0.154609,120x8
N3,8,0.877842,0.155491,0.557181,0.844939,0.189846,0.18982,0.414583,0.089583,0.99999,7e-06,0.914116,0.117925,0.978532,0.105483,120x8
N3,9,0.929657,0.07079,0.623444,0.872092,0.189831,0.189831,0.415625,0.090625,0.998239,1e-06,0.914113,0.121132,0.982575,0.108608,120x8
N3,10,0.8443,0.262368,0.649807,0.818605,0.189831,0.189831,0.414583,0.132292,1.0,0.0,0.914113,0.117925,0.81176,0.087505,120x8
N3,11,0.878678,0.144932,0.738945,0.847128,0.189846,0.189846,0.413542,0.085417,0.999989,0.0,0.914138,0.114782,0.958357,0.100556,120x8
N3,12,0.929657,0.07079,0.620923,0.865102,0.189831,0.189831,0.415625,0.094792,0.998239,1e-06,0.914113,0.121132,0.994589,0.109936,120x8
N3,13,0.877918,0.144412,0.72136,0.828395,0.185451,0.185424,0.414583,0.09375,0.99999,0.0,0.906601,0.117925,0.992218,0.106078,120x8
N3,14,0.906067,0.074752,0.620455,0.855693,0.181056,0.18103,0.416667,0.09375,0.999833,1e-06,0.898468,0.124406,0.992218,0.110887,120x8
N3,15,0.880349,0.121065,0.66255,0.836803,0.185385,0.185385,0.414583,0.085417,0.999987,0.0,0.906508,0.117925,0.958357,0.102447,120x8
N3,16,0.86142,0.255501,0.575933,0.829247,0.189846,0.189819,0.414583,0.109375,0.999998,1e-06,0.914116,0.117925,0.982575,0.105918,120x8
N3,17,0.804907,0.325686,0.624491,0.763507,0.189831,0.189831,0.414583,0.117708,1.0,0.0,0.914113,0.117925,0.939209,0.101243,120x8
N3,18,0.843468,0.246012,0.675594,0.787868,0.18984,0.189813,0.414583,0.102083,1.0,0.0,0.914105,0.117925,0.999132,0.107702,120x8
N3,19,0.930037,0.071044,0.630787,0.878095,0.189846,0.189819,0.415625,0.0875,0.998171,1e-06,0.914116,0.121132,0.969233,0.107126,120x8
N3,20,0.875409,0.150998,0.730988,0.825951,0.189831,0.189831,0.416667,0.114583,0.999992,0.0,0.914113,0.124406,0.958357,0.108985,120x8
N3,21,0.868473,0.233523,0.611042,0.836681,0.18984,0.18984,0.415625,0.090625,0.999996,0.0,0.914127,0.121132,0.982575,0.108801,120x8
N3,22,0.93085,0.069987,0.610571,0.846439,0.185385,0.185385,0.416667,0.111458,0.998016,1e-06,0.906508,0.124406,0.974083,0.109635,120x8
N3,23,0.852581,0.169029,0.69849,0.810659,0.185406,0.185406,0.416667,0.090625,0.999999,0.0,0.906546,0.124406,0.982575,0.110815,120x8
N3,24,0.889988,0.13155,0.721289,0.856587,0.185385,0.185385,0.414583,0.129167,0.999967,0.0,0.906508,0.117925,0.843548,0.090172,120x8
N3,25,0.953627,0.05779,0.573363,0.844526,0.189831,0.189804,0.414583,0.085417,0.980819,4e-06,0.914091,0.117925,0.958357,0.101324,120x8
N3,26,0.947662,0.064408,0.585229,0.8598,0.185446,0.18542,0.415625,0.101042,0.98939,4e-06,0.906593,0.121132,0.999783,0.10863,120x8
N3,27,0.953627,0.05779,0.577638,0.876722,0.189846,0.189846,0.416667,0.089583,0.980819,1.2e-05,0.914138,0.124406,0.978532,0.10915,120x8
N3,28,0.878321,0.1335,0.575722,0.846715,0.189922,0.189896,0.414583,0.090625,0.99999,4e-06,0.914241,0.117925,0.982575,0.105932,120x8
N3,29,0.930037,0.071044,0.611479,0.846002,0.185406,0.185406,0.417708,0.0875,0.998171,1e-06,0.906546,0.127747,0.969233,0.11204,120x8
