b_int,s_int,rule,known_name,known_class,activity,complexity,mean_H,std_H,opacity_up,opacity_down,tcomp,gzip,w_H,w_OP,w_T,w_G,rank
143,315,B01237/S013458,,,active,0.05220692,0.99562,0.00348,0.0,0.99505,0.7048,0.15967,0.33777,0.33105,0.9516,0.49064,313
386,83,B178/S0146,,,active,0.05216891,0.8693,0.02475,0.05032,0.86301,0.71626,0.14973,1.28098,0.06778,0.98536,0.60979,314
28,427,B234/S013578,,,chaotic,0.05210148,0.99256,0.00487,0.0186,0.9898,0.47422,0.16104,0.59455,0.44248,0.4172,0.47471,315
197,157,B0267/S02347,,,active,0.05185293,0.99491,0.00297,0.0,0.99104,0.78648,0.15815,0.38084,0.34351,0.77939,0.50855,316
243,156,B014567/S2347,,,chaotic,0.05152317,0.97143,0.01338,0.14369,0.96738,0.38983,0.15954,1.76953,0.99795,0.05928,0.49216,317
279,218,B01248/S13467,,,active,0.05138438,0.99725,0.00248,0.06131,0.99734,0.62703,0.16104,0.20365,0.6319,0.84133,0.47461,318
433,465,B04578/S04678,,,active,0.05095326,0.87597,0.03192,0.06881,0.86397,0.5898,0.15057,1.04505,0.08193,0.99252,0.59962,319
119,441,B012456/S034578,,,active,0.05080802,0.87855,0.02231,0.0,0.87541,0.56968,0.15308,1.43573,0.06268,0.99171,0.56926,320
37,259,B025/S018,,,chaotic,0.04965769,0.91682,0.02782,0.15434,0.90935,0.42938,0.15551,1.14114,0.47428,0.16992,0.53996,321
291,349,B0158/S023468,,,active,0.04947294,0.99711,0.00238,0.03172,0.99712,0.73647,0.16022,0.21344,0.4803,0.99673,0.48417,322
222,210,B123467/S1467,,,chaotic,0.04890727,0.95777,0.01113,0.31695,0.95744,0.44753,0.1596,1.93651,0.20247,0.25384,0.4914,323
98,482,B156/S15678,,,active,0.04881156,0.87151,0.02303,0.01865,0.86858,0.57446,0.15247,1.38681,0.06119,0.99761,0.57654,324
102,303,B1256/S012358,,,chaotic,0.04853551,0.99766,0.00233,0.09452,0.99785,0.521,0.16075,0.17258,0.7722,0.76192,0.47801,325
71,220,B0126/S23467,,,active,0.0484114,0.99795,0.00183,0.1543,0.9962,0.79074,0.15835,0.14788,0.86283,0.7496,0.50614,326
446,189,B1234578/S023457,,,chaotic,0.04746157,0.90684,0.03873,0.17991,0.8903,0.45878,0.1526,1.00358,0.25924,0.31728,0.57497,327
20,419,B24/S01578,,,chaotic,0.04646188,0.94992,0.01125,0.30913,0.94932,0.44003,0.15917,1.96908,0.21962,0.21641,0.49646,328
257,497,B08/S045678,,,active,0.04639099,0.9538,0.01209,0.27943,0.89479,0.87346,0.11279,1.96091,0.12204,0.2003,0.9678,329
269,392,B0238/S378,,,chaotic,0.04624595,0.96847,0.01584,0.21395,0.96041,0.39645,0.15923,1.73614,0.74691,0.07193,0.49579,330
383,100,B01234568/S256,,,chaotic,0.04549496,0.92768,0.02035,0.15463,0.92473,0.40248,0.1576,1.57771,0.65663,0.08527,0.51501,331
445,372,B0234578/S24568,,,active,0.04527696,0.853,0.02309,0.08914,0.85244,0.58312,0.15123,1.3829,0.05538,0.99924,0.59163,332
440,230,B34578/S12567,,,active,0.04483692,0.87758,0.02745,0.01859,0.87054,0.57777,0.15163,1.15496,0.06618,0.99961,0.58679,333
98,137,B156/S037,,,active,0.04475735,0.85895,0.02242,0.05597,0.85645,0.58879,0.15125,1.42833,0.05331,0.99399,0.59133,334
