mean_H,std_H,op_up,op_dn,mi1,decay,tcomp,gzip,w_H,w_OP_s,w_OP_t,w_T,w_G,score,T,seed,magnetisation
0.68167,0.130707,0.584766,0.578395,0.081322,0.030285,0.693318,0.099677,1.0,0.0,0.197325,0.900213,0.999979,0.177631,2.27,0,0.311795
0.693164,0.130861,0.609827,0.583855,0.080115,0.042724,0.68265,0.100119,1.0,0.0,0.267873,0.839323,0.999997,0.224831,2.27,1,0.255068
0.703946,0.140523,0.543751,0.591039,0.008731,0.00842,0.678503,0.100716,1.0,0.0,0.007315,0.812868,0.999897,0.005946,2.27,2,0.539131
0.694956,0.131469,0.60157,0.586936,0.079241,0.032956,0.683301,0.100487,1.0,0.0,0.209892,0.843347,0.999952,0.177004,2.27,3,0.261465
0.700218,0.142492,0.655125,0.588354,0.086587,0.05715,0.677638,0.100361,1.0,0.0,0.361147,0.807183,0.999974,0.291504,2.27,4,0.163016
0.690862,0.126666,0.607761,0.584059,0.106687,0.038565,0.687421,0.100304,1.0,0.0,0.289773,0.867935,0.999982,0.2515,2.27,5,0.000265
0.706678,0.135492,0.603026,0.592363,0.050577,0.038971,0.67224,0.100884,1.0,0.0,0.173178,0.770559,0.999844,0.133423,2.27,6,0.353019
0.696783,0.127128,0.621203,0.585208,0.100642,0.044783,0.682366,0.099854,1.0,0.0,0.32108,0.837556,0.999996,0.268922,2.27,7,0.033589
0.693323,0.140553,0.646631,0.584376,0.068499,0.040512,0.681775,0.100054,1.0,0.0,0.228576,0.833858,0.999999,0.1906,2.27,8,0.313088
0.719291,0.142855,0.669036,0.60033,0.084973,0.068626,0.668131,0.101635,1.0,0.0,0.411498,0.741524,0.999466,0.304972,2.27,9,0.027271
0.687032,0.125577,0.606809,0.581455,0.101947,0.030932,0.690421,0.100005,1.0,0.0,0.230757,0.884808,1.0,0.204176,2.27,10,0.154593
0.709596,0.129209,0.62801,0.594896,0.089748,0.047928,0.675507,0.101299,1.0,0.0,0.318682,0.792953,0.999663,0.252615,2.27,11,0.099933
0.709932,0.138683,0.65456,0.592489,0.068638,0.040481,0.673351,0.100455,1.0,0.0,0.228765,0.778248,0.999959,0.178029,2.27,12,0.265081
0.694742,0.130442,0.619022,0.586407,0.085634,0.040455,0.684634,0.100606,1.0,0.0,0.266525,0.851472,0.999926,0.226922,2.27,13,0.238747
0.68122,0.125021,0.592628,0.578332,0.095633,0.042456,0.691344,0.099797,1.0,0.0,0.297624,0.889818,0.999992,0.264829,2.27,14,0.216458
0.709604,0.135641,0.596794,0.594925,0.028332,0.01426,0.669741,0.101166,1.0,0.0,0.03909,0.753007,0.999728,0.029427,2.27,15,0.437974
0.696056,0.139562,0.627936,0.587101,0.068642,0.047187,0.680933,0.100527,1.0,0.0,0.261925,0.828537,0.999944,0.217003,2.27,16,0.311056
0.697227,0.119239,0.489239,0.589225,0.03525,0.019524,0.680042,0.100819,1.0,0.0,0.06528,0.822849,0.999866,0.053708,2.27,17,0.444269
0.706344,0.134949,0.626651,0.592393,0.076231,0.05318,0.675963,0.100706,1.0,0.0,0.312706,0.796023,0.9999,0.248897,2.27,18,0.237933
0.713851,0.133706,0.631584,0.596833,0.083869,0.02455,0.673657,0.101097,1.0,0.0,0.164895,0.780353,0.999759,0.128646,2.27,19,0.153319
0.740422,0.14552,0.658476,0.616341,0.027526,0.025254,0.649867,0.103424,1.0,0.0,0.066405,0.682936,0.997657,0.045244,2.28,0,0.380311
0.753597,0.144696,0.739895,0.623184,0.060277,0.045443,0.641779,0.103811,1.0,0.0,0.22937,0.742171,0.997099,0.169738,2.28,1,0.001943
0.717059,0.12785,0.624683,0.603177,0.0788,0.053549,0.663842,0.102656,1.0,0.0,0.321781,0.710388,0.99859,0.228267,2.28,2,0.079116
0.761545,0.142736,0.705948,0.62967,0.054387,0.045389,0.639835,0.104711,1.0,0.0,0.210808,0.756008,0.995571,0.158666,2.28,3,0.134204
0.745568,0.139372,0.694905,0.61915,0.059993,0.045856,0.648427,0.103564,1.0,0.0,0.230322,0.693641,0.997463,0.159356,2.28,4,0.14507
0.75275,0.132478,0.676931,0.624172,0.061156,0.055544,0.646546,0.104312,1.0,0.0,0.275112,0.707535,0.996289,0.193929,2.28,5,0.118265
0.758963,0.140441,0.701209,0.627334,0.050257,0.035217,0.640206,0.104363,1.0,0.0,0.157019,0.753381,0.9962,0.117846,2.28,6,0.180996
0.750327,0.138816,0.686227,0.621044,0.063902,0.059633,0.645628,0.103474,1.0,0.0,0.301544,0.714273,0.997589,0.214865,2.28,7,0.03966
0.758112,0.138347,0.692247,0.626413,0.055901,0.047306,0.642493,0.104199,1.0,0.0,0.223527,0.737041,0.99648,0.164169,2.28,8,0.133843
0.739711,0.142033,0.707481,0.617034,0.065809,0.059935,0.651069,0.10377,1.0,0.0,0.309658,0.673951,0.997161,0.208102,2.28,9,0.100923
