model,L,param,seed,C_a,mean_H,op_up,op_down,mi1,tc_mean,gzip_ratio
Majority Vote,64,0.01,2,0.002193,0.998718,0.0,0.593615,0.913229,0.977301,0.07186
Majority Vote,64,0.01,3,0.046621,0.968991,0.0,0.55821,0.905388,0.977304,0.066977
Majority Vote,64,0.01,4,0.011157,0.994057,0.0,0.617073,0.898994,0.977435,0.075092
Majority Vote,64,0.01,5,0.021228,0.987243,0.0,0.584265,0.954358,0.977292,0.072281
Majority Vote,64,0.03,0,0.03187,0.992871,0.0,0.582051,0.764102,0.957321,0.06958
Majority Vote,64,0.03,1,0.236058,0.906797,0.0,0.514756,0.767564,0.957465,0.062247
Majority Vote,64,0.03,2,0.002265,0.999227,0.0,0.573928,0.802678,0.957462,0.068503
Majority Vote,64,0.03,3,0.365052,0.854974,0.0,0.525716,0.775199,0.958078,0.067123
Majority Vote,64,0.03,4,0.082921,0.97993,0.0,0.565559,0.764361,0.958347,0.067484
Majority Vote,64,0.03,5,0.107292,0.963743,0.0,0.55342,0.839332,0.957913,0.067538
Majority Vote,64,0.05,0,0.322056,0.946193,0.0,0.594255,0.709782,0.938589,0.080115
Majority Vote,64,0.05,1,0.375664,0.844423,0.0,0.530484,0.642452,0.93855,0.072296
Majority Vote,64,0.05,2,0.000238,0.999975,0.311334,0.596567,0.688371,0.938464,0.076834
Majority Vote,64,0.05,3,0.210897,0.967594,0.0,0.615004,0.715663,0.938223,0.08317
Majority Vote,64,0.05,4,0.067606,0.989359,0.0,0.629539,0.711426,0.937732,0.083167
Majority Vote,64,0.05,5,0.069521,0.980396,0.0,0.584255,0.705142,0.938446,0.076019
Majority Vote,64,0.07,0,0.018823,0.99772,0.0,0.64737,0.610718,0.919553,0.089594
Majority Vote,64,0.07,1,1.083211,0.814691,0.30322,0.525804,0.639189,0.91936,0.074918
Majority Vote,64,0.07,2,0.122178,0.978012,0.0,0.623967,0.663647,0.920157,0.084628
Majority Vote,64,0.07,3,0.704747,0.695601,0.0,0.499143,0.580957,0.919275,0.076599
Majority Vote,64,0.07,4,0.113255,0.98044,0.0,0.60779,0.643355,0.919296,0.079504
Majority Vote,64,0.07,5,0.17646,0.966374,0.0,0.606631,0.643534,0.920789,0.082507
Majority Vote,64,0.09,0,0.088984,0.989565,0.0,0.653251,0.568316,0.900323,0.091788
Majority Vote,64,0.09,1,1.317051,0.803569,0.169121,0.569839,0.530312,0.900302,0.088013
Majority Vote,64,0.09,2,0.094324,0.987691,0.0,0.647711,0.548919,0.900714,0.089658
Majority Vote,64,0.09,3,0.732703,0.743127,0.0,0.539651,0.467551,0.902307,0.082666
Majority Vote,64,0.09,4,0.493339,0.944104,0.0,0.636803,0.543571,0.900409,0.091434
Majority Vote,64,0.09,5,0.626702,0.881747,0.0,0.608386,0.559131,0.898926,0.091516
Majority Vote,64,0.11,0,0.314509,0.967218,0.0,0.68076,0.503848,0.880106,0.100226
Majority Vote,64,0.11,1,0.373812,0.963674,0.0,0.675544,0.490314,0.88111,0.100311
Majority Vote,64,0.11,2,0.008305,0.99908,0.0,0.672156,0.499177,0.882538,0.092499
Majority Vote,64,0.11,3,0.690931,0.88323,0.0,0.625145,0.44563,0.882761,0.092612
Majority Vote,64,0.11,4,1.338787,0.826608,0.076886,0.604917,0.390324,0.882526,0.094525
Majority Vote,64,0.11,5,0.216934,0.978819,0.0,0.684076,0.532262,0.880893,0.099921
Majority Vote,64,0.14,0,0.176484,0.980736,0.0,0.726706,0.445219,0.856274,0.110553
Majority Vote,64,0.14,1,1.089165,0.859245,0.0,0.656135,0.32717,0.855713,0.103229
Majority Vote,64,0.14,2,0.131505,0.987303,0.0,0.718488,0.430542,0.855991,0.104669
Majority Vote,64,0.14,3,1.231002,0.736469,0.0,0.602014,0.281144,0.856238,0.102023
Majority Vote,64,0.14,4,0.051143,0.994756,0.0,0.713584,0.452618,0.854684,0.100815
Majority Vote,64,0.14,5,0.006598,0.999608,0.112416,0.735253,0.433198,0.853888,0.110605
Majority Vote,64,0.18,0,0.010757,0.999389,0.128078,0.79735,0.364928,0.818771,0.126584
Majority Vote,64,0.18,1,0.111041,0.990832,0.0,0.77459,0.337356,0.820667,0.118469
Majority Vote,64,0.18,2,0.949173,0.898759,0.0,0.732424,0.278476,0.818655,0.118729
Majority Vote,64,0.18,3,0.700712,0.962669,0.142628,0.764344,0.351606,0.820432,0.118286
Majority Vote,64,0.18,4,0.033706,0.997196,0.0,0.779852,0.338794,0.819348,0.118198
Majority Vote,64,0.18,5,0.002559,0.999877,0.321014,0.792049,0.314224,0.818576,0.12489
Majority Vote,128,0.01,0,0.005642,0.996196,0.0,0.584459,0.934138,0.977481,0.061106
Majority Vote,128,0.01,1,0.001788,0.99883,0.0,0.575217,0.923908,0.977331,0.05926
Majority Vote,128,0.01,2,0.009094,0.994832,0.0,0.58481,0.923146,0.977231,0.062689
Majority Vote,128,0.01,3,9.7e-05,0.999934,0.0,0.596986,0.922321,0.977467,0.064684
Majority Vote,128,0.01,4,0.000214,0.999848,0.0,0.603014,0.914734,0.977503,0.064446
Majority Vote,128,0.01,5,0.001013,0.999254,0.0,0.582244,0.931465,0.977356,0.061668
Majority Vote,128,0.03,0,0.005251,0.998183,0.0,0.577859,0.788538,0.957716,0.062754
Majority Vote,128,0.03,1,0.03341,0.989814,0.0,0.56058,0.796479,0.957478,0.058801
Majority Vote,128,0.03,2,0.061092,0.982587,0.0,0.570339,0.786358,0.957886,0.062555
Majority Vote,128,0.03,3,0.000103,0.999966,0.0,0.572994,0.798564,0.957647,0.061933
Majority Vote,128,0.03,4,0.001682,0.999436,0.0,0.598168,0.823918,0.957655,0.065575
Majority Vote,128,0.03,5,0.043079,0.988136,0.0,0.565126,0.799809,0.95778,0.061098
Majority Vote,128,0.05,0,0.001125,0.999763,0.0,0.595157,0.719468,0.938613,0.06677
Majority Vote,128,0.05,1,0.345996,0.954069,0.329556,0.574368,0.700885,0.938259,0.065921
Majority Vote,128,0.05,2,0.010767,0.997257,0.0,0.591181,0.731238,0.9387,0.065997
Majority Vote,128,0.05,3,0.028782,0.99339,0.0,0.588921,0.709959,0.938497,0.066339
Majority Vote,128,0.05,4,0.181528,0.966105,0.0,0.590292,0.693795,0.938118,0.068771
Majority Vote,128,0.05,5,0.051108,0.987049,0.0,0.582472,0.72304,0.938527,0.06534
Majority Vote,128,0.07,0,0.034515,0.993855,0.0,0.617219,0.632379,0.918912,0.071849
Majority Vote,128,0.07,1,0.106964,0.979763,0.0,0.597613,0.6282,0.919878,0.067923
Majority Vote,128,0.07,2,0.115209,0.976577,0.0,0.597377,0.618227,0.919519,0.068516
